"title","genre","runtime","mpaa_rating","thtr_rel_year","thtr_rel_month","thtr_rel_day","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_score"
"Filly Brown","Drama",80,"R",2013,4,19,5.5,899,"Rotten",45,73
"The Dish","Drama",101,"PG-13",2001,3,14,7.3,12285,"Certified Fresh",96,81
"Waiting for Guffman","Comedy",84,"R",1996,8,21,7.6,22381,"Certified Fresh",91,91
"The Age of Innocence","Drama",139,"PG",1993,10,1,7.2,35096,"Certified Fresh",80,76
"Malevolence","Horror",90,"R",2004,9,10,5.1,2386,"Rotten",33,27
"Old Partner","Documentary",78,"Unrated",2009,1,15,7.8,333,"Fresh",91,86
"Lady Jane","Drama",142,"PG-13",1986,1,1,7.2,5016,"Rotten",57,76
"Mad Dog Time","Drama",93,"R",1996,11,8,5.5,2272,"Rotten",17,47
"Beauty Is Embarrassing","Documentary",88,"Unrated",2012,9,7,7.5,880,"Fresh",90,89
"The Snowtown Murders","Drama",119,"Unrated",2012,3,2,6.6,12496,"Certified Fresh",83,66
"Superman II","Action & Adventure",127,"PG",1981,6,19,6.8,71979,"Certified Fresh",89,75
"Leap of Faith","Drama",108,"PG-13",1992,12,18,6,9669,"Fresh",67,46
"The Royal Tenenbaums","Comedy",110,"R",2002,1,4,7.6,201779,"Certified Fresh",80,89
"School for Scoundrels","Comedy",100,"PG-13",2006,9,23,5.9,25808,"Rotten",25,53
"Rhinestone","Comedy",111,"PG",1984,6,20,3.6,5544,"Rotten",15,36
"Burn After Reading","Drama",96,"R",2008,8,27,7,240033,"Certified Fresh",78,64
"The Doors","Drama",140,"R",1991,3,1,7.2,66489,"Rotten",54,80
"The Wood","Drama",106,"R",1999,7,16,6.9,6336,"Fresh",61,92
"Jason X","Horror",91,"R",2002,4,26,4.4,37769,"Rotten",19,24
"Dragon Wars","Drama",90,"PG-13",2007,9,13,3.6,21268,"Rotten",29,19
"Fallen","Drama",124,"R",1997,6,1,7,56201,"Rotten",40,73
"The Gleaners and I","Documentary",82,"Unrated",2001,4,6,7.6,3459,"Fresh",92,86
"Tamara Drewe","Drama",107,"R",2010,10,8,6.2,16717,"Fresh",66,42
"Not Without My Daughter","Drama",116,"PG-13",1991,1,11,6.2,9357,"Rotten",47,71
"The Yes Men Fix the World","Documentary",87,"Unrated",2009,1,18,7.6,4541,"Certified Fresh",79,77
"Oh, God! You Devil","Comedy",97,"PG",1984,11,9,5.3,1816,"Rotten",40,41
"Meet Joe Black","Drama",178,"PG-13",1998,11,13,7.1,163490,"Rotten",51,81
"The Bay","Horror",84,"R",2012,11,2,5.6,19285,"Certified Fresh",77,43
"Scandal","Art House & International",115,"R",1989,5,28,6.4,3688,"Fresh",91,61
"Imagine: John Lennon","Musical & Performing Arts",100,"R",1988,10,7,7.9,3488,"Fresh",92,91
"Locke","Mystery & Suspense",85,"R",2014,4,25,7.1,82851,"Certified Fresh",91,71
"The Spongebob Squarepants Movie","Animation",87,"PG",2004,11,19,7,56128,"Fresh",68,77
"The Muppet Christmas Carol","Science Fiction & Fantasy",85,"G",1992,1,1,7.7,33101,"Fresh",69,85
"Die Hard 2","Mystery & Suspense",124,"R",1990,7,2,7.1,259822,"Fresh",69,70
"The Reckoning","Documentary",112,"R",2004,3,5,6.6,4908,"Rotten",40,57
"Alice in Wonderland","Action & Adventure",108,"PG",2010,3,5,6.5,290356,"Rotten",52,55
"I'm Not There","Drama",135,"R",2007,11,21,7,47297,"Certified Fresh",76,70
"Three Wishes","Drama",115,"PG",1995,11,3,6.1,2145,"Rotten",13,51
"Aliens","Action & Adventure",137,"R",1986,7,18,8.4,466400,"Certified Fresh",98,94
"Driving Miss Daisy","Drama",99,"PG",1989,6,1,7.4,69338,"Certified Fresh",81,81
"Max","Drama",106,"R",2002,12,27,6.6,6228,"Fresh",69,64
"Serpico","Drama",130,"R",1973,12,5,7.8,75468,"Fresh",90,88
"Basic","Drama",98,"R",2003,3,28,6.5,48519,"Rotten",21,64
"The Guru","Comedy",94,"R",2002,1,31,5.4,13523,"Rotten",57,40
"The Color Purple","Drama",154,"PG-13",1985,12,16,7.8,58668,"Fresh",88,94
"The Dream Team","Comedy",113,"PG-13",1989,4,7,6.5,9654,"Rotten",54,62
"The Man Without a Face","Drama",115,"PG-13",1993,8,25,6.7,22079,"Fresh",67,64
"The White Countess","Drama",135,"PG-13",2005,12,21,6.7,5258,"Rotten",50,49
"Viva Knievel!","Drama",106,"PG",1977,7,15,2.7,761,"Rotten",17,17
"Rising Sun","Drama",125,"R",1993,7,30,6.2,33839,"Rotten",35,40
"Mojados: Through the Night","Documentary",65,"Unrated",2004,3,12,7.3,183,"Fresh",73,88
"Seven Pounds","Drama",123,"PG-13",2008,12,19,7.7,225130,"Rotten",27,75
"The Mothman Prophecies","Mystery & Suspense",119,"PG-13",2002,1,25,6.5,62241,"Rotten",52,56
"Breaking and Entering","Drama",120,"R",2007,2,16,6.6,19714,"Rotten",34,52
"The English Patient","Drama",162,"R",1996,11,15,7.4,137126,"Certified Fresh",84,83
"Heaven & Earth","Drama",140,"R",1994,6,1,6.8,10468,"Rotten",44,72
"The Last Kiss","Drama",115,"R",2006,9,15,6.5,37770,"Rotten",46,59
"Three of Hearts","Drama",102,"R",1993,4,30,5.5,1628,"Rotten",56,38
"The Tortured","Mystery & Suspense",79,"R",2012,6,15,5.5,5587,"Rotten",6,35
"The Package","Mystery & Suspense",108,"R",1989,8,25,6.4,6247,"Fresh",64,43
"Happy, Texas","Comedy",98,"PG-13",1999,10,1,6.3,8646,"Certified Fresh",81,54
"Then She Found Me","Drama",100,"R",2007,9,7,6,8320,"Rotten",50,44
"Promises","Documentary",106,"Unrated",2002,3,22,8.5,2362,"Certified Fresh",96,96
"Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers","Documentary",92,"Unrated",2009,6,1,7.8,1942,"Certified Fresh",96,89
"The Recruit","Mystery & Suspense",115,"PG-13",2003,1,31,6.6,110238,"Rotten",43,58
"Alvin and the Chipmunks: Chipwrecked","Animation",87,"G",2011,12,16,4.4,21501,"Rotten",12,52
"The Thin Blue Line","Documentary",103,"Unrated",1988,8,25,8.1,14359,"Fresh",100,90
"The Cotton Club","Musical & Performing Arts",127,"R",1984,12,14,6.5,12450,"Fresh",75,55
"Lord of the Flies","Drama",90,"R",1989,1,1,6.4,21704,"Fresh",63,52
"Same Time, Next Year","Drama",119,"PG",1978,11,22,7.2,4375,"Rotten",40,85
"Proof of Life","Drama",135,"R",2000,12,8,6.2,48324,"Rotten",40,43
"Waking Up in Reno","Comedy",91,"R",2002,10,25,5.5,4768,"Rotten",13,30
"Silent Fall","Mystery & Suspense",101,"R",1994,10,28,5.9,2944,"Rotten",24,38
"Rock 'n' Roll High School","Comedy",93,"PG",1979,8,4,6.8,6788,"Fresh",79,75
"Twilight Zone---The Movie","Horror",101,"PG",1983,6,24,6.5,24783,"Fresh",65,55
"The Golden Bowl","Drama",130,"R",2000,5,14,6,3745,"Rotten",54,39
"Rio 2","Animation",101,"G",2014,4,11,6.4,54726,"Rotten",48,59
"Easy","Drama",99,"R",2004,11,26,5.9,1493,"Rotten",59,47
"Major League: Back to the Minors","Comedy",100,"PG-13",1998,4,17,4.4,5616,"Rotten",21,24
"The Wedding Banquet (Xi yan)","Drama",106,"R",1993,8,4,7.6,10492,"Fresh",96,87
"Gotti","Drama",116,"R",1996,8,17,7.3,4451,"Fresh",60,83
"Strange Brew","Comedy",90,"R",1983,8,19,6.8,12269,"Fresh",71,81
"Robocop 2","Action & Adventure",117,"R",1990,6,22,5.7,60335,"Rotten",32,35
"Riders (Steal)","Action & Adventure",83,"R",2002,8,5,5.5,5035,"Rotten",29,34
"Warrior","Drama",140,"PG-13",2011,9,9,8.2,315051,"Certified Fresh",82,92
"Percy Jackson: Sea of Monsters","Drama",106,"PG",2013,8,7,5.9,82737,"Rotten",42,55
"Visioneers","Drama",94,"R",2008,6,12,6.1,4944,"Fresh",70,54
"Bats","Drama",91,"R",1999,10,22,3.6,8229,"Rotten",17,14
"The Brother from Another Planet","Drama",108,"R",1984,9,7,6.8,4516,"Fresh",92,76
"Blame It on Rio","Comedy",100,"R",1984,2,17,5.7,7858,"Rotten",9,40
"North Face (Nordwand)","Drama",126,"Unrated",2010,1,29,7.4,10938,"Certified Fresh",84,82
"Predator","Action & Adventure",107,"R",1987,6,12,7.8,279704,"Certified Fresh",78,87
"The Reef","Mystery & Suspense",94,"R",2010,5,15,5.8,11192,"Fresh",78,41
"Dirty Sanchez: The Movie","Comedy",94,"R",2007,9,11,6.2,3851,"Rotten",40,75
"Shakedown","Drama",97,"R",1988,5,6,5.8,1838,"Fresh",71,43
"The Principal","Drama",109,"R",1987,9,18,6.2,6552,"Rotten",50,52
"A New Life","Drama",104,"PG-13",1988,3,25,5.7,390,"Rotten",29,25
"Arlington Road","Mystery & Suspense",117,"R",1999,7,9,7.2,68429,"Fresh",62,74
"Annie Hall","Comedy",93,"PG",1977,4,20,8.1,182983,"Certified Fresh",98,93
"Charlie: The Life and Art of Charles Chaplin","Documentary",132,"Unrated",2004,2,13,8,1147,"Fresh",95,90
"The Sessions","Drama",95,"R",2012,10,19,7.2,35635,"Certified Fresh",93,80
"Prison","Drama",102,"R",1988,3,4,5.9,2569,"Rotten",40,34
"Kiss of Death","Drama",101,"R",1995,5,19,5.9,13980,"Fresh",68,37
"Citizen X","Drama",105,"R",1995,2,25,7.7,11477,"Fresh",86,86
"The Comebacks","Comedy",84,"PG-13",2007,10,19,4.1,9853,"Rotten",9,33
"The Other Woman","Drama",102,"R",2011,2,4,6.4,14970,"Rotten",39,45
"Pusher III: I'm the Angel of Death","Drama",90,"R",2005,9,2,7.3,9001,"Fresh",92,81
"Two for the Money","Drama",122,"R",2005,10,7,6.2,35868,"Rotten",22,48
"Star Trek V - The Final Frontier","Action & Adventure",107,"PG",1989,6,9,5.4,41767,"Rotten",21,24
"Cop & 1/2","Comedy",97,"PG",1993,4,2,3.8,6954,"Rotten",17,35
"Django Unchained","Other",165,"R",2012,12,25,8.5,893008,"Certified Fresh",88,91
"Cousins","Drama",109,"PG-13",1989,1,1,6.2,3467,"Rotten",50,69
"Spy Game","Drama",126,"R",2001,11,21,7,117688,"Fresh",66,75
"Held Up","Comedy",89,"PG-13",2000,5,12,5.1,2817,"Rotten",17,43
"Striking Distance","Mystery & Suspense",102,"R",1993,9,17,5.8,32751,"Rotten",14,35
"One Night With the King","Drama",123,"PG",2006,10,13,6.3,5704,"Rotten",19,78
"Phil Ochs: There But For Fortune","Musical & Performing Arts",96,"Unrated",2011,1,5,7.6,318,"Fresh",97,78
"Lethal Weapon 4","Action & Adventure",127,"R",1998,7,10,6.6,123989,"Rotten",52,64
"101 Dalmatians","Action & Adventure",103,"G",1996,11,29,5.6,70209,"Rotten",38,40
"Bhutto","Documentary",111,"Unrated",2010,12,3,7.8,541,"Fresh",86,88
"Deep Impact","Drama",120,"PG-13",1998,5,8,6.1,132215,"Rotten",48,43
"Shoot 'Em Up","Drama",86,"R",2007,9,7,6.7,127458,"Fresh",67,65
"The Room","Drama",99,"R",2003,6,27,3.5,27769,"Rotten",35,46
"Made of Honor","Comedy",101,"PG-13",2008,5,2,5.8,52635,"Rotten",14,55
"The Longest Yard","Drama",121,"R",1974,8,30,7.1,12819,"Fresh",81,75
"Dirty Love","Comedy",91,"R",2005,9,23,3.5,6054,"Rotten",4,67
"Berberian Sound Studio","Horror",92,"Unrated",2013,6,14,6.2,9367,"Certified Fresh",84,54
"A Good Old Fashioned Orgy","Comedy",95,"R",2011,9,2,6.2,17798,"Rotten",32,41
"May","Drama",93,"R",2003,6,6,6.7,26010,"Fresh",69,75
"Any Day Now","Drama",98,"R",2012,12,14,7.5,4515,"Certified Fresh",79,76
"Africa: The Serengeti","Documentary",39,"Unrated",1994,4,8,7.3,535,"Fresh",100,74
"Grosse Pointe Blank","Drama",107,"R",1997,4,11,7.4,71572,"Certified Fresh",79,87
"Jack and Jill","Comedy",91,"PG",2011,11,11,3.4,57933,"Rotten",3,37
"Sherman's March","Documentary",157,"Unrated",1986,9,5,7.5,1784,"Fresh",100,86
"The Ninth Configuration (Twinkle, Twinkle, Killer Kane)","Drama",118,"R",1980,2,29,7.2,3883,"Fresh",70,79
"Mr. & Mrs. Bridge","Drama",126,"PG-13",1990,11,23,6.7,2282,"Fresh",80,42
"Space Jam","Comedy",88,"PG",1996,11,15,6.3,105745,"Rotten",36,63
"Spring Breakers","Drama",94,"R",2013,3,22,5.3,104457,"Fresh",66,38
"Fantastic Four: Rise of the Silver Surfer","Action & Adventure",92,"PG",2007,6,15,5.6,205065,"Rotten",37,51
"The Hangover","Comedy",100,"R",2009,6,5,7.8,562136,"Certified Fresh",79,84
"The Shaggy D.A.","Comedy",91,"G",1976,12,17,5.7,1778,"Rotten",50,44
"Orca - The Killer Whale","Drama",92,"PG",1977,7,15,5.6,7628,"Rotten",15,33
"Tang shan da xiong (Fists of Fury) (The Big Boss)","Drama",100,"R",1972,4,1,7.1,17934,"Fresh",60,74
"The Story Of Luke","Drama",96,"Unrated",2013,4,5,7.3,2502,"Fresh",80,78
"New York, New York","Drama",155,"PG",1977,6,22,6.7,13092,"Fresh",67,59
"Barbarosa","Other",90,"PG",1982,2,19,6.6,1010,"Fresh",100,74
"Sinbad and the Eye of the Tiger","Action & Adventure",113,"G",1977,1,1,6.3,4687,"Fresh",63,55
"K-19: The Widowmaker","Drama",138,"PG-13",2002,7,19,6.6,48137,"Fresh",60,52
"What's Eating Gilbert Grape","Drama",118,"PG-13",1993,12,25,7.8,164112,"Certified Fresh",89,89
"Of Mice and Men","Drama",115,"PG-13",1992,10,2,7.5,30921,"Fresh",96,82
"In the Name of the King: A Dungeon Siege Tale","Action & Adventure",127,"PG-13",2006,11,3,3.8,37640,"Rotten",4,22
"Hairspray","Musical & Performing Arts",117,"PG",2007,7,20,6.8,95327,"Certified Fresh",91,85
"Godzilla","Mystery & Suspense",123,"PG-13",2014,5,16,6.5,289825,"Certified Fresh",74,66
"The Freshman","Drama",102,"PG",1990,7,20,6.5,15525,"Certified Fresh",93,61
"The Legend of Hercules","Action & Adventure",99,"PG-13",2014,1,10,4.2,43268,"Rotten",3,33
"North Sea Hijack (ffolkes) (Assault Force)","Action & Adventure",100,"PG",1980,4,18,6.3,3153,"Rotten",33,43
"Texasville","Drama",123,"R",1991,1,1,6,1887,"Rotten",55,50
"My Baby's Daddy","Comedy",86,"PG-13",2004,1,9,4.5,3096,"Rotten",4,49
"Clerks II","Drama",97,"R",2006,7,21,7.4,112216,"Fresh",63,84
"White House Down","Drama",131,"PG-13",2013,6,28,6.4,154674,"Rotten",51,62
"Flesh & Blood (Flesh+Blood) (The Rose and the Sword)","Drama",126,"R",1985,8,30,6.7,12535,"Fresh",79,63
"Bastard out of Carolina","Drama",97,"R",1996,12,15,7.4,3363,"Fresh",100,83
"Red Dawn","Action & Adventure",114,"PG-13",1984,8,10,6.3,40659,"Rotten",53,65
"Rescue Dawn","Drama",120,"PG-13",2007,7,27,7.4,82378,"Certified Fresh",91,74
"The Longshots","Drama",94,"PG",2008,8,22,5.1,3135,"Rotten",41,61
"Blind Spot: Hitler's Secretary","Documentary",90,"PG",2002,10,10,7.3,1489,"Certified Fresh",85,70
"U-Turn","Drama",125,"R",1997,10,3,6.8,41385,"Rotten",59,62
"Something's Gotta Give","Comedy",128,"PG-13",2003,12,12,6.7,88523,"Fresh",71,69
"A Boy and His Dog","Drama",91,"R",1975,3,1,6.6,12221,"Fresh",75,63
"Terror Train","Horror",97,"R",1980,1,1,5.9,6304,"Rotten",36,39
"Leatherface: The Texas Chainsaw Massacre III","Horror",85,"R",1990,1,12,5.1,9565,"Rotten",19,32
"Lorenzo's Oil","Drama",129,"PG-13",1992,12,30,7.2,15913,"Fresh",94,79
"Groundhog Day","Other",101,"PG",1993,2,12,8.1,414687,"Certified Fresh",96,87
"Conviction","Drama",107,"R",2010,10,15,7.2,33720,"Fresh",67,70
"Kicking It","Documentary",98,"Unrated",2008,6,13,7.4,325,"Rotten",53,71
"Vampire Hunter D: Bloodlust","Action & Adventure",103,"R",2001,9,21,7.8,22245,"Fresh",72,86
"Bounce","Drama",106,"PG-13",2000,11,17,5.7,17133,"Rotten",52,33
"A Mighty Heart","Drama",108,"R",2007,6,22,6.7,23821,"Certified Fresh",79,70
"Santa Sangre","Drama",123,"R",1990,6,1,7.7,13285,"Fresh",85,87
"Resident Evil","Action & Adventure",100,"R",2002,3,15,6.7,192052,"Rotten",33,68
"Top Gun","Drama",110,"PG",1986,5,16,6.9,211129,"Rotten",54,83
"25th Hour","Drama",135,"R",2003,1,10,7.7,146518,"Certified Fresh",78,85
"The Bad News Bears in Breaking Training","Comedy",100,"PG",1977,7,8,5.4,2239,"Rotten",50,39
"Streets of Gold","Drama",95,"R",1986,11,14,6,486,"Rotten",31,44
"The Mod Squad","Drama",92,"R",1999,3,26,4.1,7658,"Rotten",4,17
"Where the Heart Is","Drama",107,"R",1990,1,1,6.1,1268,"Rotten",11,58
"Battlefield Earth","Action & Adventure",118,"PG-13",2000,5,12,2.4,64119,"Rotten",3,11
"Osmosis Jones","Comedy",95,"PG",2001,8,10,6.2,24678,"Rotten",55,41
"Never Cry Wolf","Drama",105,"PG",1983,1,1,7.6,6114,"Fresh",100,85
"A Good Woman","Drama",93,"PG",2006,2,3,6.5,9399,"Rotten",37,49
"Drive","Drama",100,"R",2011,9,16,7.8,414650,"Certified Fresh",92,79
"2 Days in the Valley","Drama",104,"R",1996,9,27,6.5,15291,"Fresh",60,54
"Married to It","Drama",112,"R",1993,3,26,5.9,725,"Rotten",33,41
"Pay It Forward","Drama",123,"PG-13",2000,10,20,7.1,93331,"Rotten",40,77
"Topsy-Turvy","Drama",154,"R",1999,12,17,7.4,9876,"Certified Fresh",89,79
"Beyond the Gates","Drama",115,"R",2005,12,8,7.7,9525,"Certified Fresh",84,85
"Top Secret!","Comedy",90,"PG",1984,6,8,7.2,44741,"Fresh",76,80
"Gaza Strip","Documentary",74,"Unrated",2002,1,1,7.3,285,"Fresh",78,89
"Night and the City","Drama",105,"R",1992,10,11,5.8,3673,"Fresh",67,31
"Lockout (Unrated)","Action & Adventure",95,"PG-13",2012,4,13,6.1,79970,"Rotten",38,46
"Orwell Rolls in His Grave","Documentary",84,"Unrated",2003,10,23,8.1,1058,"Fresh",79,92
"Sunshine Cleaning","Comedy",91,"R",2009,3,13,6.9,60220,"Certified Fresh",72,62
"The Stupids","Comedy",94,"PG",1996,9,6,4.1,5591,"Rotten",21,36
"Better This World","Documentary",82,"Unrated",2011,9,16,7.3,340,"Fresh",100,80
"Wimbledon","Drama",98,"PG-13",2004,9,17,6.3,50340,"Fresh",60,57
"B. Monkey","Drama",92,"R",1999,9,10,6,2934,"Fresh",61,55
"Caveman","Action & Adventure",91,"PG",1981,4,17,5.7,5564,"Rotten",24,55
"V for Vendetta","Drama",132,"R",2006,3,17,8.2,753592,"Certified Fresh",73,90
"One on One","Drama",98,"PG",1977,6,28,6.4,1141,"Fresh",83,75
"Flesh And Bone","Drama",126,"R",1993,11,5,6.2,3967,"Fresh",67,40
"Mission: Impossible","Mystery & Suspense",110,"PG-13",1996,5,22,7.1,287476,"Fresh",63,71
"A Time to Kill","Mystery & Suspense",149,"R",1996,7,24,7.4,94983,"Fresh",67,86
"The Color of Money","Other",119,"R",1986,10,8,7,56185,"Fresh",90,73
"Knightriders","Drama",146,"R",1981,1,1,6.4,3138,"Fresh",82,61
"The Company You Keep","Mystery & Suspense",125,"R",2013,4,5,6.4,25264,"Rotten",55,45
"Madea Goes to Jail","Drama",103,"PG-13",2009,2,20,4.1,9424,"Rotten",29,70
